route,countries,km_analysed,usable_4g5g_pct,any_signal_pct,dead_zones,dead_zone_km,mountain_estimate,data_source,methodology_version,url
Walker’s Haute Route (Chamonix–Zermatt),France · Switzerland,209,51.6,60.4,2,83,yes,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/walkers-haute-route
Alta Via 1 (AV1 / Dolomites High Route 1),Italy,118,52.9,92.4,1,9,yes,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/alta-via-1
New Zealand South Island Road Trip (South Island Loop / Te Waipounamu),New Zealand,2113,55.2,55.2,12,943,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/nz-south-island-road-trip
Appalachian Trail — New England (Bear Mountain–Katahdin),United States,1179,58.6,69.3,49,278,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/appalachian-trail-new-england
Pacific Crest Trail — Southern California (Campo–Kennedy Meadows),United States,1113,59.0,70.9,31,240,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/pct-southern-california
EuroVelo 6 (EV6 / Atlantic–Black Sea Route),10 countries in Europe,3400,61.4,69.6,26,1030,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/eurovelo-6
Appalachian Trail — Virginia (Damascus–Harpers Ferry),United States,880,60.9,82.0,19,121,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/appalachian-trail-virginia
Appalachian Trail — South (Springer Mountain–Damascus),United States,740,61.8,82.1,13,64,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/appalachian-trail-south
Utah Mighty 5 Road Trip (Zion–Bryce–Capitol Reef–Arches/Canyonlands),United States,566,62.7,71.9,17,141,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/utah-mighty-5
TransAmerica Bicycle Trail (ACA Route 76),United States,7163,64.4,72.1,200,1474,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/transamerica-bicycle-trail
Appalachian Trail (AT),United States,3392,65.8,80.2,82,471,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/appalachian-trail
Lake District Loop (Windermere–Keswick),United Kingdom,142,67.5,68.9,0,0,no,Ofcom drive tests,ofcom-drivetest-v1,https://trailsim.com/routes/lake-district-loop
Camino de Santiago — Camino del Norte (Northern Way),Spain,837,68.0,79.6,3,170,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/camino-del-norte
"Long Trail (Vermont, Massachusetts–Canada)",United States,401,69.0,85.9,7,30,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/long-trail
Camino de Santiago — Camino Francés (French Way),France · Spain,768,70.0,89.9,6,78,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/camino-de-santiago
Snowdonia Loop (Eryri),"Wales, United Kingdom",110,69.8,96.4,1,4,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/snowdonia-loop
Camino de Santiago — Camino Portugués Central (Portuguese Central Way),Portugal · Spain,245,71.8,97.1,1,7,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/camino-portugues-central
Great Ocean Walk (Apollo Bay–Twelve Apostles),Australia,96,81.3,81.3,1,16,no,ACMA licence register,acma-rrl-sites-v1,https://trailsim.com/routes/great-ocean-walk
EuroVelo 6 — Upper Danube (Basel–Vienna),Europe,918,81.5,87.3,10,117,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/eurovelo-6-upper-danube
Iceland Ring Road (Route 1 / Þjóðvegur 1),Iceland,1276,84.4,84.4,12,197,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/iceland-ring-road
"Pacific Coast Highway (California SR-1, San Francisco–Los Angeles)",United States,708,83.5,89.0,8,57,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/pacific-coast-highway
Camino de Santiago — Vía de la Plata (Silver Way),Spain,705,85.0,92.3,3,53,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/via-de-la-plata
Everest Base Camp Trek (EBC Trek),Nepal,54,85.5,100.0,0,0,yes,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/everest-base-camp-trek
Camino de Santiago — Camino Portugués Coastal (Portuguese Coastal Way),Portugal · Spain,272,86.9,96.7,1,9,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/camino-portugues-coastal
Great Ocean Road (B100),Australia,240,88.7,88.7,3,25,no,ACMA licence register,acma-rrl-sites-v1,https://trailsim.com/routes/great-ocean-road
Columbia River Gorge & Mount Hood Loop (Portland),United States,284,90.3,100.0,0,0,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/columbia-gorge-mt-hood-loop
North Coast 500 (NC500),"Scotland, United Kingdom",729,91.3,91.7,0,0,no,Ofcom drive tests,ofcom-drivetest-v1,https://trailsim.com/routes/north-coast-500
Appalachian Trail — Mid-Atlantic (Harpers Ferry–Bear Mountain),United States,594,91.3,97.1,3,10,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/appalachian-trail-mid-atlantic
West Highland Way (WHW),"Scotland, United Kingdom",153,93.1,94.8,2,8,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/west-highland-way
"Ring of Kerry (N70 Loop, Killarney)",Ireland,174,94.8,94.8,1,9,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/ring-of-kerry
EuroVelo 6 — France (Atlantic–Basel),Europe,1022,95.2,96.1,4,39,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/eurovelo-6-france
Rota Vicentina — Fishermen's Trail (Trilho dos Pescadores),Portugal,222,95.3,96.4,1,8,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/rota-vicentina
Olympic Peninsula Loop (US-101),United States,543,94.9,99.8,0,0,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/olympic-peninsula-loop
Route 66 — Southern Plains (Oklahoma City–Albuquerque),United States,881,98.4,98.4,3,14,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/route-66-southern-plains
Historic Route 66 (U.S. Route 66 / The Mother Road),United States,3471,99.5,99.5,4,17,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/route-66-drive
Route 66 — Southwest (Albuquerque–Santa Monica),United States,1299,99.8,99.8,1,3,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/route-66-southwest
"Romantic Road (Romantische Straße, Würzburg–Füssen)",Germany,329,100.0,100.0,0,0,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/romantic-road
"Amalfi Coast Drive (SS163, Sorrento–Salerno)",Italy,59,100.0,100.0,0,0,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/amalfi-coast-drive
La Loire à Vélo — Châteaux de la Loire (Orléans–Nantes),France,366,100.0,100.0,0,0,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/loire-a-velo
Kumano Kodo — Nakahechi Route (Imperial Route),Japan,36,100.0,100.0,0,0,yes,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/kumano-kodo-nakahechi
Shimanami Kaido (Setouchi Shimanami Cycling Route),Japan,70,100.0,100.0,0,0,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/shimanami-kaido
Route 66 — Midwest (Chicago–Oklahoma City),United States,1291,100.0,100.0,0,0,no,OpenCellID crowd-sourced towers,opencellid-radius-v1,https://trailsim.com/routes/route-66-midwest
"Florida Keys Overseas Highway (US-1, Key Largo–Key West)",United States,159,100.0,100.0,0,0,no,FCC National Broadband Map,fcc-bdc-h3-v1,https://trailsim.com/routes/florida-keys-overseas-highway
